"Analysis_Family","Run_ID","Scenario","Uncertainty_Structure","Conditional_Success_Rate","Discount_Rate","Initial_Mediation_Resolution_Share","Final_Mediation_Resolution_Share","Logistic_Steepness_k","Case_Mix_Cost_Multiplier","Case_Mix_Time_Multiplier","Iterations","Random_Seed","Annual_Eligible_Cases","Time_Horizon_Years","Currency","Price_Year","Comparator","Mediation_Resolved_Per_100_Annual_Cases","Mediation_Attempts_Per_100_Annual_Cases","Failed_Attempts_To_Trial_Per_100_Annual_Cases","Direct_To_Trial_Per_100_Annual_Cases","Trial_Resolved_Per_100_Annual_Cases","Mediation_Resolved_2000_Annual_Cases","Mediation_Attempts_2000_Annual_Cases","Failed_Attempts_To_Trial_2000_Annual_Cases","Trial_Resolved_2000_Annual_Cases","Mean_NPV_Savings_Per_100_Annual_Cases_USD","Median_NPV_Savings_Per_100_Annual_Cases_USD","LB95_NPV_Savings_Per_100_Annual_Cases_USD","UB95_NPV_Savings_Per_100_Annual_Cases_USD","Probability_Positive_NPV_Savings","Mean_NPV_Savings_2000_Annual_Cases_USD","Median_NPV_Savings_2000_Annual_Cases_USD","LB95_NPV_Savings_2000_Annual_Cases_USD","UB95_NPV_Savings_2000_Annual_Cases_USD","Mean_Months_Saved_Per_100_Annual_Cases","Median_Months_Saved_Per_100_Annual_Cases","LB95_Months_Saved_Per_100_Annual_Cases","UB95_Months_Saved_Per_100_Annual_Cases","Probability_Positive_Time_Savings","Mean_Years_Saved_2000_Annual_Cases","Median_Years_Saved_2000_Annual_Cases","LB95_Years_Saved_2000_Annual_Cases","UB95_Years_Saved_2000_Annual_Cases","Year_1_Mediation_Resolution_Share","Year_5_Mediation_Resolution_Share","Year_10_Mediation_Resolution_Share"
"Conditional-success sensitivity","RUN_026","Middle-income","annual_independent",0.9,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,415.555555555556,41.5555555555556,584.444444444444,626,7480,8311.11111111111,831.111111111111,12520,2366314.05048854,2358747.84702707,1747036.25663886,3030220.36967696,1,47326281.0097708,47174956.9405413,34940725.1327771,60604407.3935393,9423.41042422251,9432.17790712196,7442.89872726189,11325.77014388,1,15705.6840403708,15720.2965118699,12404.8312121031,18876.2835731334,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_027","Low-income","annual_independent",0.9,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,237.777777777778,23.7777777777778,762.222222222222,786,4280,4755.55555555555,475.555555555555,15720,676664.025685675,675026.765661219,492719.194543622,872293.144862379,1,13533280.5137135,13500535.3132244,9854383.89087243,17445862.8972476,7487.48302782966,7481.82298075333,5830.01213935137,9177.51894882914,1,12479.1383797161,12469.7049679222,9716.68689891894,15295.8649147152,0.0749518089481767,0.2,0.33577223804673
"Conditional-success sensitivity","RUN_028","High-income","fixed_horizon",0.85,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,564.705882352941,84.7058823529412,435.294117647059,520,9600,11294.1176470588,1694.11764705882,10400,5591673.68028562,5298590.98515206,1293080.70207444,11001471.1864589,0.9999,111833473.605712,105971819.703041,25861614.0414888,220029423.729179,7760.09806995156,7588.22696606565,2340.31029282008,13811.9577175043,1,12933.4967832526,12647.0449434427,3900.51715470014,23019.9295291739,0.160791725977255,0.45,0.745984289445429
"Conditional-success sensitivity","RUN_029","Middle-income","fixed_horizon",0.85,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,440,66,560,626,7480,8800,1320,12520,2353279.04124161,2246512.68405836,725160.911500402,4384668.59240454,1,47065580.8248322,44930253.6811673,14503218.230008,87693371.8480908,9355.2973053503,9369.94989279321,3970.60201272718,14759.1017835176,1,15592.1621755838,15616.5831546553,6617.67002121197,24598.5029725293,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_030","Low-income","fixed_horizon",0.85,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,251.764705882353,37.764705882353,748.235294117647,786,4280,5035.29411764706,755.294117647059,15720,674417.367289356,646477.371348902,171763.199486909,1275265.3050647,1,13488347.3457871,12929547.426978,3435263.98973818,25505306.1012939,7427.3114674719,7210.80805781326,3157.67923278937,12513.1974394866,1,12378.8524457865,12018.0134296888,5262.79872131562,20855.329065811,0.0749518089481767,0.2,0.33577223804673
"Conditional-success sensitivity","RUN_031","High-income","annual_independent",0.85,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,564.705882352941,84.7058823529412,435.294117647059,520,9600,11294.1176470588,1694.11764705882,10400,5560695.72957535,5541035.64304826,3915940.41068459,7334189.21213165,1,111213914.591507,110820712.860965,78318808.2136918,146683784.242633,7723.8547545482,7720.71033430164,5633.70719679674,9808.20570640937,1,12873.0912575803,12867.8505571694,9389.51199466124,16347.0095106823,0.160791725977255,0.45,0.745984289445429
"Conditional-success sensitivity","RUN_032","Middle-income","annual_independent",0.85,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,440,66,560,626,7480,8800,1320,12520,2341590.34111288,2333758.05180689,1720351.36502087,3005498.28843751,1,46831806.8222575,46675161.0361378,34407027.3004173,60109965.7687503,9317.32410879341,9329.0420515452,7333.76022167247,11222.436428911,1,15528.8735146557,15548.403419242,12222.9337027874,18704.0607148517,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_033","Low-income","annual_independent",0.85,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,251.764705882353,37.764705882353,748.235294117647,786,4280,5035.29411764706,755.294117647059,15720,670916.183755927,669219.513424231,486575.396297881,866458.989245451,1,13418323.6751185,13384390.2684846,9731507.92595763,17329179.784909,7398.76013481197,7393.19607514328,5734.43808138318,9090.44523276637,1,12331.2668913533,12321.9934585721,9557.3968023053,15150.7420546106,0.0749518089481767,0.2,0.33577223804673
"Conditional-success sensitivity","RUN_034","High-income","fixed_horizon",0.8,0.05,0.15,0.75,1,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",480,600,120,400,520,9600,12000,2400,10400,5506756.57482229,5212734.72637683,1214073.44327018,10930212.671539,0.9994,110135131.496446,104254694.527537,24281468.8654036,218604253.430779,7642.64433941038,7472.18471959252,2204.41535838222,13712.3700666207,0.9999,12737.740565684,12453.6411993209,3674.0255973037,22853.9501110345,0.160791725977255,0.45,0.745984289445429
"Conditional-success sensitivity","RUN_035","Middle-income","fixed_horizon",0.8,0.05,0.1,0.6,0.8,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",374,467.5,93.5,532.5,626,7480,9350,1870,12520,2325483.17264342,2217267.47748325,693558.724360889,4364065.81107442,1,46509663.4528684,44345349.549665,13871174.4872178,87281316.2214884,9236.34261595903,9250.77158168241,3832.72226978992,14667.8414820302,1,15393.9043599317,15417.9526361373,6387.87044964986,24446.4024700504,0.119582861398382,0.35,0.591006895018954
"Conditional-success sensitivity","RUN_036","Low-income","fixed_horizon",0.8,0.05,0.05,0.35,0.6,1,1,10000,42100,2000,10,"USD",2014,"All eligible claims resolve through trial",214,267.5,53.5,732.5,786,4280,5350,1070,15720,667955.168297372,639835.424878196,164144.561522261,1268682.29320822,1,13359103.3659474,12796708.4975639,3282891.23044522,25373645.8641644,7327.84596509292,7113.75422388361,3049.74357180788,12425.9880078725,1,12213.0766084882,11856.257039806,5082.90595301314,20709.9800131208,0.0749518089481767,0.2,0.33577223804673
