"Analysis_Family","Run_ID","Scenario","Uncertainty_Structure","Conditional_Success_Rate","Discount_Rate","Final_Mediation_Resolution_Share","Case_Mix_Cost_Multiplier","Case_Mix_Time_Multiplier","Year","Mediation_Resolution_Share","Mediation_Resolved_Per_100_Cases","Mediation_Attempts_Per_100_Cases","Failed_Attempts_To_Trial_Per_100_Cases","Direct_To_Trial_Per_100_Cases","Trial_Resolved_Per_100_Cases","Mean_NPV_Savings_Per_100_Cases_USD","LB95_NPV_Savings_Per_100_Cases_USD","UB95_NPV_Savings_Per_100_Cases_USD","Mean_Months_Saved_Per_100_Cases","LB95_Months_Saved_Per_100_Cases","UB95_Months_Saved_Per_100_Cases","Mean_NPV_Savings_2000_Cases_USD","LB95_NPV_Savings_2000_Cases_USD","UB95_NPV_Savings_2000_Cases_USD","Mean_Years_Saved_2000_Cases","LB95_Years_Saved_2000_Cases","UB95_Years_Saved_2000_Cases"
"Conditional-success sensitivity","RUN_018","Low-income","fixed_horizon",0.95,0.05,0.35,1,1,3,0.119442564950295,12,12.6315789473684,0.631578947368421,87.3684210526316,88,45841.6980374886,12251.2701572945,86041.8825381957,425.878447490683,188.781028034665,708.402100359048,916833.960749772,245025.403145891,1720837.65076391,709.797412484471,314.635046724442,1180.67016726508
"Conditional-success sensitivity","RUN_018","Low-income","fixed_horizon",0.95,0.05,0.35,1,1,4,0.156303108132261,16,16.8421052631579,0.842105263157894,83.1578947368421,84,58211.6800476044,15557.1684537074,109259.533381836,567.837929987579,251.708037379553,944.536133812064,1164233.60095209,311143.369074147,2185190.66763672,946.396549979299,419.513395632589,1574.22688968677
"Conditional-success sensitivity","RUN_018","Low-income","fixed_horizon",0.95,0.05,0.35,1,1,5,0.2,20,21.0526315789474,1.05263157894737,78.9473684210526,80,69299.619104291,18520.4386353659,130070.873073614,709.797412484473,314.635046724442,1180.67016726508,1385992.38208582,370408.772707318,2601417.46147228,1182.99568747412,524.391744540736,1967.78361210847
"Conditional-success sensitivity","RUN_018","Low-income","fixed_horizon",0.95,0.05,0.35,1,1,6,0.243696891867739,24,25.2631578947368,1.26315789473684,74.7368421052632,76,79199.5646906183,21166.2155832753,148652.426369845,851.756894981366,377.56205606933,1416.8042007181,1583991.29381237,423324.311665506,2973048.52739689,1419.59482496894,629.270093448883,2361.34033453016
"Conditional-success sensitivity","RUN_018","Low-income","fixed_horizon",0.95,0.05,0.35,1,1,7,0.280557435049705,28,29.4736842105263,1.47368421052632,70.5263157894737,72,87999.5163229093,23518.0173147504,165169.362633161,993.716377478261,440.489065414218,1652.93823417111,1759990.32645819,470360.346295007,3303387.25266322,1656.19396246377,734.148442357031,2754.89705695185
"Conditional-success sensitivity","RUN_018","Low-income","fixed_horizon",0.95,0.05,0.35,1,1,8,0.307444680529854,31,32.6315789473684,1.63157894736842,67.3684210526316,69,92788.605646605,24797.9094135123,174158.171483945,1100.18598935094,487.684322422885,1830.03875926087,1855772.1129321,495958.188270246,3483163.4296789,1833.64331558489,812.807204038141,3050.06459876812
"Conditional-success sensitivity","RUN_018","Low-income","fixed_horizon",0.95,0.05,0.35,1,1,9,0.325048191051823,33,34.7368421052632,1.73684210526316,65.2631578947368,67,94071.397429738,25140.7376542521,176565.888140405,1171.16573059938,519.147827095329,1948.10577598738,1881427.94859476,502814.753085042,3531317.7628081,1951.9428843323,865.246378492215,3246.84295997897
"Conditional-success sensitivity","RUN_018","Low-income","fixed_horizon",0.95,0.05,0.35,1,1,10,0.33577223804673,34,35.7894736842105,1.78947368421053,64.2105263157895,66,92306.7103206662,24669.1220849804,173253.685332576,1206.6556012236,534.879579431551,2007.13928435064,1846134.20641332,493382.441699608,3465073.70665153,2011.092668706,891.465965719251,3345.23214058439
"Conditional-success sensitivity","RUN_019","High-income","annual_independent",0.95,0.05,0.75,1,1,1,0.160791725977255,16,16.8421052631579,0.842105263157894,83.1578947368421,84,250225.36248993,64294.7822600635,486018.853363345,265.576722411936,87.3405576865389,462.051199734538,5004507.24979861,1285895.64520127,9720377.06726689,442.62787068656,145.567596144232,770.085332890897
"Conditional-success sensitivity","RUN_019","High-income","annual_independent",0.95,0.05,0.75,1,1,2,0.17845552390654,18,18.9473684210526,0.947368421052634,81.0526315789474,82,267336.503066968,71227.1141819487,521611.19521779,297.567461877373,94.1171821370298,521.250070670154,5346730.06133937,1424542.28363897,10432223.9043558,495.945769795622,156.861970228383,868.75011778359
"Conditional-success sensitivity","RUN_019","High-income","annual_independent",0.95,0.05,0.75,1,1,3,0.221521753213271,22,23.1578947368421,1.15789473684211,76.8421052631579,78,313521.594396635,76580.058678529,611319.263839153,361.246704831046,114.621817178056,633.819087150302,6270431.88793271,1531601.17357058,12226385.2767831,602.077841385077,191.036361963427,1056.3651452505
"Conditional-success sensitivity","RUN_019","High-income","annual_independent",0.95,0.05,0.75,1,1,4,0.311364852821997,31,32.6315789473684,1.63157894736842,67.3684210526316,69,416733.130614373,111196.772915438,807004.072917306,511.460379383641,159.122740399102,895.785225955346,8334662.61228747,2223935.45830876,16140081.4583461,852.433965639401,265.204567331837,1492.97537659224
"Conditional-success sensitivity","RUN_019","High-income","annual_independent",0.95,0.05,0.75,1,1,5,0.45,45,47.3684210526316,2.36842105263158,52.6315789473684,55,580844.15795929,154870.092815451,1118354.21705789,739.354705858301,231.110869297587,1302.84264894394,11616883.1591858,3097401.85630903,22367084.3411578,1232.25784309717,385.184782162645,2171.40441490657
"Conditional-success sensitivity","RUN_019","High-income","annual_independent",0.95,0.05,0.75,1,1,6,0.588635147178003,59,62.1052631578947,3.10526315789474,37.8947368421053,41,726102.22263724,186458.419800102,1414412.43609162,972.805718157603,303.235782379726,1715.84059271671,14522044.4527448,3729168.39600205,28288248.7218324,1621.342863596,505.392970632876,2859.73432119452
"Conditional-success sensitivity","RUN_019","High-income","annual_independent",0.95,0.05,0.75,1,1,7,0.678478246786729,68,71.578947368421,3.57894736842105,28.4210526315789,32,799731.300569069,207180.499085048,1537869.77033722,1121.19656778169,358.196502537358,1959.54509820413,15994626.0113814,4143609.98170097,30757395.4067445,1868.66094630282,596.994170895597,3265.90849700688
"Conditional-success sensitivity","RUN_019","High-income","annual_independent",0.95,0.05,0.75,1,1,8,0.72154447609346,72,75.7894736842105,3.78947368421053,24.2105263157895,28,806871.499322456,214942.945467866,1557892.87145211,1187.54926805629,375.836486404124,2086.86679294866,16137429.9864491,4298858.90935733,31157857.4290423,1979.24878009381,626.394144006873,3478.1113215811
